id,tenHeThongRap,logo,biDanh,deletedBy,isDeleted,deletedAt,createdAt,updatedAt
1,BHD Star Cineplex,https://movienew.cybersoft.edu.vn/hinhanh/bhd-star-cineplex.png,bhd-star-cineplex,0,0,,2025-12-07 17:34:01,2025-12-07 17:34:01
2,CGV,https://movienew.cybersoft.edu.vn/hinhanh/cgv.png,cgv,0,0,,2025-12-07 17:34:01,2025-12-07 17:34:01
3,CineStar,https://movienew.cybersoft.edu.vn/hinhanh/cinestar.png,cinestar,0,0,,2025-12-07 17:34:01,2025-12-07 17:34:01
4,Galaxy Cinema,https://movienew.cybersoft.edu.vn/hinhanh/galaxy-cinema.png,galaxy-cinema,0,0,,2025-12-07 17:34:02,2025-12-07 17:34:02
5,Lotte Cinema,https://movienew.cybersoft.edu.vn/hinhanh/lotte-cinema.png,lotte-cinema,0,0,,2025-12-07 17:34:02,2025-12-07 17:34:02
6,MegaGS,https://movienew.cybersoft.edu.vn/hinhanh/megags.png,megags,0,0,,2025-12-07 17:34:02,2025-12-07 17:34:02
